,customer_id,1,2,3,4,5,6,7,8,9,10,11,12,output
479,3069157,10,7,1,7,18,7,2,2,7,5,14,14,44
640,3835552,0,0,0,3,4,6,2,0,1,0,0,0,0
335,2440293,0,0,0,0,0,0,0,0,0,0,0,0,0
1622,8319784,0,0,0,0,0,0,0,0,0,0,0,0,1
499,3174034,0,0,0,0,4,0,1,0,4,0,2,0,2
726,4211546,485,228,247,265,77,435,17,22,92,740,677,317,2411
712,4158688,0,0,0,0,0,0,0,0,0,0,0,0,0
513,3234405,0,0,0,1,0,0,0,0,0,0,0,1,0
1148,6089205,0,0,0,0,0,1,0,0,0,0,0,0,0
234,2022495,0,12,0,9,11,2,0,9,0,0,0,0,0
615,3727665,0,0,9,18,6,0,0,21,0,0,0,1,3
372,2598212,0,0,0,0,0,0,1,0,0,0,0,0,0
654,3896635,7,2,6,19,2,25,17,11,37,8,20,22,67
304,2340175,0,0,0,0,11,0,4,13,8,0,3,4,2
1066,5659335,1,0,4,11,10,19,22,1,14,9,53,27,10
818,4571719,0,5,0,4,8,0,0,0,0,0,0,0,0
57,1225225,3,23,0,0,0,0,4,0,0,0,0,7,39
1531,7866866,41,29,0,4,1,4,0,3,1,0,0,15,0
1741,8880895,6,0,9,0,0,0,0,4,1,0,2,1,3
1003,5388240,0,3,1,3,4,0,0,0,0,3,0,2,0
18,1066618,10,1,0,0,8,2,1,0,0,0,0,0,20
0,1001614,0,0,0,28,0,0,3,19,0,0,4,8,32
1281,6702224,0,0,0,0,0,0,0,0,0,0,0,0,0
723,4203413,0,0,0,0,0,0,0,0,0,0,0,0,0
1832,9290571,0,0,0,0,0,0,0,0,0,0,0,0,10
1638,8390414,0,0,0,0,0,0,0,0,0,0,0,0,0
1256,6552111,0,0,0,0,0,0,0,0,0,0,0,0,0
519,3246786,0,0,0,0,0,0,0,0,0,0,0,0,0
335,2440293,0,0,0,0,0,0,0,0,0,0,0,0,0
1787,9065746,8,11,0,12,23,3,44,1,0,6,0,0,0
142,1624400,1,14,12,16,22,0,4,0,1,5,27,0,17
